Date,BTC_pd_T0,BTC_v_T0,BTC_pd_T1,BTC_rpd_T1,BTC_v_T1,BTC_s_T1,BTC_pd_T2,BTC_v_T2,BTC_s_T2,BTC_dl_m3,BTC_do_m3,BTC_dp_m3,BTC_log_v_T0,BTC_log_v_T1,BTC_log_v_T2,BTC_log_s_T2,BTC_cbrt_rpd_T0,BTC_cbrt_hl_T0,BTC_cbrt_pd_T1,BTC_cbrt_dv_T1,BTC_cbrt_hl_T1,BTC_cbrt_pd_T2,BTC_cbrt_dl_m3,BTC_cbrt_do_m3,BTC_cbrt_dp_m3
2010-05-23,-0.0004,2000.0,-5.5e-05,-0.0616326530612,2000.0,9.69,-0.000302,2000.0,9.196,6.93333333333e-05,0.000333333333333,6.53333333333e-05,7.60140233458,7.60140233458,7.60140233458,2.32199548651,-0.433798424554,0.0736806299728,-0.0380295246076,0.0,0.070135790835,-0.0670917285208,0.041081600985,0.0693361274351,0.0402758707865
2010-05-25,0.0,2000.0,-0.000247,-0.0509803921569,2000.0,9.196,-0.000247,2500.0,11.495,0.000299333333333,0.000163333333333,-0.000134666666667,7.60140233458,7.60140233458,7.82444593088,2.52532856429,0.0,0.0,-0.0627430535741,0.0,-0.0627430535741,-0.0627430535741,0.0668936706053,0.0546627665933,-0.0512570219739
2010-05-26,0.0,2000.0,0.0,-0.0110917790344,2500.0,11.495,-5.1e-05,2500.0,11.3675,-4.96666666667e-05,-4.96666666667e-05,-6.66666666667e-05,7.60140233458,7.82444593088,7.82444593088,2.51507206412,0.0,0.0,0.0,7.93700525984,0.0,-0.0370842976927,-0.0367582650155,-0.0367582650155,-0.0405480133038
2010-05-27,0.0,2500.0,-5.1e-05,-0.0245759025663,2500.0,11.3675,-0.000113,19884.0,89.17974,-8.23333333333e-05,-8.23333333333e-05,-8.67361737988e-19,7.82444593088,7.82444593088,9.89772095764,4.50180478987,0.0,0.0,-0.0370842976927,0.0,-0.0370842976927,-0.0483458812711,-0.0435036035828,-0.0435036035828,-9.53674316406e-07
2010-05-28,0.0,2500.0,-6.2e-05,-0.0136353639762,19884.0,89.17974,-6.2e-05,10000.0,44.85,-3.4e-05,-3.4e-05,-1.30104260698e-18,7.82444593088,9.89772095764,9.21044036698,3.8253751987,0.0,0.0,-0.0395789160968,25.904978595,-0.0395789160968,-0.0395789160968,-0.0323961180128,-0.0323961180128,-1.09168457275e-06
2010-05-29,0.0,19884.0,0.0,-0.108138238573,10000.0,44.85,-0.000485,2000.0,8.0,-5.83333333333e-05,-5.83333333333e-05,-8.67361737988e-19,9.89772095764,9.21044036698,7.60140233458,2.19722457734,0.0,0.0,0.0,-21.4607178884,0.0,-0.0785682800785,-0.0387827795242,-0.0387827795242,-9.53674316406e-07
2010-05-30,0.0,10000.0,-0.000485,0.00334448160535,2000.0,8.0,1.5e-05,6100.0,27.755,-2.06666666667e-05,-2.06666666667e-05,-1.30104260698e-18,9.21044036698,7.60140233458,8.71620797115,3.35881166517,0.0,0.0,-0.0785682800785,-20.0,-0.0785682800785,0.0246621207433,-0.0274424877023,-0.0274424877023,-1.09168457275e-06
2010-06-04,0.0,2000.0,0.0005,-0.002,6100.0,27.755,-8e-06,400.0,1.5968,-0.000323333333333,-0.000323333333333,-1.30104260698e-18,7.60140233458,8.71620797115,5.99396142731,0.954279917778,0.0,0.0,0.0793700525984,16.0052066388,0.0843432665302,-0.02,-0.0686357146245,-0.0686357146245,-1.09168457275e-06
2010-06-07,-0.0001,6100.0,-0.000608,0.0,400.0,1.5968,0.0,3600.0,16.47,0.000171666666667,0.000271666666667,3.33333333333e-05,8.71620797115,5.99396142731,8.18896686365,2.86048512415,-0.279092001,0.0464158883361,-0.0847164716851,-17.8631598771,-0.0797911217649,0.0,0.0555770287362,0.0647657577897,0.0321829794869
2010-06-08,0.0,400.0,0.000608,0.25250501002,3600.0,16.47,0.001008,10000.0,50.0,-0.000172,-0.000172,-1.66666666667e-05,5.99396142731,8.18896686365,9.21044036698,3.93182563272,0.0,0.0,0.0847164716851,14.7361259946,0.0847164716851,0.100265958699,-0.0556129776652,-0.0556129776652,-0.0255436477465
